comparison,class,n_a,n_b,fid,mean_l2,mmd_rbf,c2st_bal_acc_mean,c2st_bal_acc_std
real_train2000_vs_real_test,CD,477,477,0.11599305722132908,0.27330929040908813,0.0032740935163206863,0.4975670163170163,0.02090014065364401
synth_vs_real_test,CD,477,477,2.5788643111838256,1.153436541557312,0.0933411566384501,0.8571726884226883,0.008557465172385868
synth_vs_real_train2000,CD,477,477,2.3366778643395705,1.0908147096633911,0.0910683111436057,0.8711101398601399,0.02161234417897414
real_train2000_vs_real_test,HYP,255,255,0.14949744719532537,0.13944251835346222,0.0,0.5135850991114148,0.01571749861682443
synth_vs_real_test,HYP,255,255,11.58778845175917,3.121248245239258,0.2549964557224831,0.9268284347231714,0.01776024592638115
synth_vs_real_train2000,HYP,255,255,11.60659343256655,3.1369473934173584,0.24679911552212452,0.9203007518796991,0.01772014908168123
real_train2000_vs_real_test,MI,560,560,0.027313157397682294,0.07274306565523148,0.0002854089680950356,0.5315476190476192,0.023404289584925613
synth_vs_real_test,MI,560,560,5.59339248649928,2.1210238933563232,0.2879424407757427,0.8386904761904763,0.007851729737067234
synth_vs_real_train2000,MI,560,560,5.358510756715081,2.1112940311431885,0.29956766700558,0.8369047619047618,0.01533821276991086
real_train2000_vs_real_test,NORM,600,600,0.0357512287684921,0.11673738807439804,0.0014031292640999116,0.4988888888888889,0.027250552152068255
synth_vs_real_test,NORM,600,600,9.59478700806434,2.9437098503112793,0.40553780731156386,0.9461111111111112,0.006236095644623214
synth_vs_real_train2000,NORM,600,600,8.857022148052549,2.842639684677124,0.3832714066580083,0.9411111111111111,0.012222222222222178
real_train2000_vs_real_test,STTC,499,499,0.06472150774991009,0.14145724475383759,0.0,0.5053333333333333,0.0164113781667882
synth_vs_real_test,STTC,499,499,5.741987986394633,2.127436399459839,0.2000705849354807,0.9039999999999999,0.010832051206181286
synth_vs_real_train2000,STTC,499,499,6.2866789254589,2.2291226387023926,0.21840947901986452,0.916,0.00646357314322182
