subset,n_records,class,positive_count,positive_rate
all,21799,CD,4898,0.22468920592687738
all,21799,HYP,2649,0.1215193357493463
all,21799,MI,5469,0.2508830680306436
all,21799,NORM,9514,0.43644203862562503
all,21799,STTC,5235,0.2401486306711317
train2000,2000,CD,477,0.2385
train2000,2000,HYP,255,0.1275
train2000,2000,MI,560,0.28
train2000,2000,NORM,839,0.4195
train2000,2000,STTC,499,0.2495
val2000,2000,CD,424,0.212
val2000,2000,HYP,258,0.129
val2000,2000,MI,494,0.247
val2000,2000,NORM,867,0.4335
val2000,2000,STTC,492,0.246
test_rest,17799,CD,3997,0.22456317770661274
test_rest,17799,HYP,2136,0.12000674195179505
test_rest,17799,MI,4415,0.24804764312601832
test_rest,17799,NORM,7808,0.43867633013090623
test_rest,17799,STTC,4244,0.23844036181807968
