subset,positive_label_count,n_records,rate
all,0,411,0.01885407587504014
all,1,16244,0.7451717968714161
all,2,4068,0.1866140648653608
all,3,919,0.04215789715124547
all,4,157,0.007202165236937474
train2000,0,29,0.0145
train2000,1,1429,0.7145
train2000,2,442,0.221
train2000,3,83,0.0415
train2000,4,17,0.0085
val2000,0,47,0.0235
val2000,1,1488,0.744
val2000,2,367,0.1835
val2000,3,79,0.0395
val2000,4,19,0.0095
test_rest,0,335,0.01882128209449969
test_rest,1,13327,0.7487499297713355
test_rest,2,3259,0.18310017416708804
test_rest,3,757,0.04253047924040677
test_rest,4,121,0.0067981347266700375
