subset,label_combo,n_records,rate
all,NORM,9069,0.4160282581769806
all,MI,2532,0.11615211706959035
all,STTC,2400,0.11009679343089132
all,CD,1708,0.078352217991651
all,CD+MI,1297,0.05949814211661086
all,HYP+STTC,781,0.03582733152896922
all,MI+STTC,599,0.027478324693793292
all,HYP,535,0.02454241020230286
all,CD+STTC,471,0.021606495710812423
all,NONE,411,0.01885407587504014
all,CD+NORM,407,0.018670581219321986
all,HYP+MI+STTC,361,0.016560392678563237
all,CD+HYP,300,0.013762099178861415
all,CD+MI+STTC,223,0.010229827056286986
all,CD+HYP+STTC,211,0.00967934308913253
all,HYP+MI,183,0.008394880499105464
all,CD+HYP+MI+STTC,156,0.007156291573007936
all,CD+HYP+MI,117,0.005367218679755952
all,NORM+STTC,28,0.0012844625900270655
all,CD+NORM+STTC,5,0.00022936831964769026
all,CD+HYP+NORM,2,9.17473278590761e-05
all,HYP+NORM,2,9.17473278590761e-05
all,CD+HYP+MI+NORM,1,4.587366392953805e-05
train2000,NORM,801,0.4005
train2000,MI,226,0.113
train2000,STTC,209,0.1045
train2000,CD+MI,152,0.076
train2000,CD,144,0.072
train2000,MI+STTC,78,0.039
train2000,HYP+STTC,68,0.034
train2000,CD+STTC,49,0.0245
train2000,HYP,49,0.0245
train2000,HYP+MI+STTC,36,0.018
train2000,CD+NORM,35,0.0175
train2000,CD+HYP,33,0.0165
train2000,NONE,29,0.0145
train2000,HYP+MI,24,0.012
train2000,CD+HYP+STTC,20,0.01
train2000,CD+MI+STTC,19,0.0095
train2000,CD+HYP+MI+STTC,17,0.0085
train2000,CD+HYP+MI,8,0.004
train2000,NORM+STTC,3,0.0015
val2000,NORM,835,0.4175
val2000,MI,236,0.118
val2000,STTC,205,0.1025
val2000,CD,161,0.0805
val2000,CD+MI,102,0.051
val2000,HYP+STTC,89,0.0445
val2000,MI+STTC,62,0.031
val2000,HYP,51,0.0255
val2000,NONE,47,0.0235
val2000,CD+STTC,45,0.0225
val2000,CD+NORM,29,0.0145
val2000,HYP+MI+STTC,29,0.0145
val2000,CD+HYP+STTC,23,0.0115
val2000,HYP+MI,20,0.01
val2000,CD+HYP+MI+STTC,19,0.0095
val2000,CD+HYP,18,0.009
val2000,CD+MI+STTC,17,0.0085
val2000,CD+HYP+MI,9,0.0045
val2000,NORM+STTC,2,0.001
val2000,CD+NORM+STTC,1,0.0005
test_rest,NORM,7433,0.4176077307713916
test_rest,MI,2070,0.11629866846452049
test_rest,STTC,1986,0.11157930220798921
test_rest,CD,1403,0.07882465307039721
test_rest,CD+MI,1043,0.058598797685263215
test_rest,HYP+STTC,624,0.035058149334232264
test_rest,MI+STTC,459,0.025787965616045846
test_rest,HYP,435,0.02443957525703691
test_rest,CD+STTC,377,0.021180965222765323
test_rest,CD+NORM,343,0.019270745547502667
test_rest,NONE,335,0.01882128209449969
test_rest,HYP+MI+STTC,296,0.016630147761110176
test_rest,CD+HYP,249,0.01398954997471768
test_rest,CD+MI+STTC,187,0.010506208213944603
test_rest,CD+HYP+STTC,168,0.009438732513062532
test_rest,HYP+MI,139,0.007809427495926737
test_rest,CD+HYP+MI+STTC,120,0.006741951795044665
test_rest,CD+HYP+MI,100,0.005618293162537221
test_rest,NORM+STTC,23,0.001292207427383561
test_rest,CD+NORM+STTC,4,0.00022473172650148884
test_rest,CD+HYP+NORM,2,0.00011236586325074442
test_rest,HYP+NORM,2,0.00011236586325074442
test_rest,CD+HYP+MI+NORM,1,5.618293162537221e-05
