path,category,top_level,lines
docs/README.md,archive_doc_or_report,docs,46
docs/center_token_v2_results.md,archive_doc_or_report,docs,197
docs/codex-handoffs/current_workspace_handoff.md,archive_doc_or_report,docs,394
docs/ecg_digital_thresholds.md,archive_doc_or_report,docs,153
docs/ecgtwin_super5_digital_gt_validation.json,archive_doc_or_report,docs,1053
docs/ecgtwin_super5_digital_gt_validation.md,archive_doc_or_report,docs,189
docs/experiment_summary_for_advisor.md,archive_doc_or_report,docs,583
docs/label_strategy.md,archive_doc_or_report,docs,543
docs/module_ablation_1_real_vs_synth.md,archive_doc_or_report,docs,196
docs/pipelines/agents_md_organization_suggestions_20260529.md,archive_doc_or_report,docs,59
docs/pipelines/ai_agent_workspace_refactor_plan_20260604.md,archive_doc_or_report,docs,1060
docs/pipelines/center_style_classifier_pipeline.md,archive_doc_or_report,docs,1342
docs/pipelines/current_reproduction_pipeline.md,archive_doc_or_report,docs,1313
docs/pipelines/data_layer_refactor_plan_20260619.md,archive_doc_or_report,docs,219
docs/pipelines/dataset_preprocessing_pipeline.md,archive_doc_or_report,docs,790
docs/pipelines/ecgfounder_frozen_linear_probe_pipeline.md,archive_doc_or_report,docs,884
docs/pipelines/ecgtwin_author_repro_pipeline.md,archive_doc_or_report,docs,365
docs/pipelines/ecgtwin_center_prompt_token_pipeline.md,archive_doc_or_report,docs,2506
docs/pipelines/efficientnetv2_training_pipeline.md,archive_doc_or_report,docs,656
docs/pipelines/final_round_ablation_pipeline.md,archive_doc_or_report,docs,543
docs/pipelines/graduate_project.md,archive_doc_or_report,docs,4195
docs/pipelines/latent_hull_online_at_pipeline.md,archive_doc_or_report,docs,2505
docs/pipelines/managed_v6_main_repro_20260528.md,archive_doc_or_report,docs,104
docs/pipelines/next_auto_execution_plan.md,archive_doc_or_report,docs,1139
docs/pipelines/pn2021_c_corruption_benchmark_pipeline.md,archive_doc_or_report,docs,727
docs/pipelines/pn2021_v3_reevaluation_pipeline.md,archive_doc_or_report,docs,236
docs/pipelines/pn2021c_candidate_inventory_20260630.md,archive_doc_or_report,docs,458
docs/pipelines/pn2021c_dual_model_corruption_calibration_plan_20260618.md,archive_doc_or_report,docs,600
docs/pipelines/pn2021c_vae_augmix_recovery_goal_plan_20260613.md,archive_doc_or_report,docs,684
docs/pipelines/pn2021c_vae_lhat_augmix_execution_plan_20260618.md,archive_doc_or_report,docs,445
docs/pipelines/ptbxl_ecgtwin_offline_pgd_at_pipeline.md,archive_doc_or_report,docs,704
docs/pipelines/ptbxl_prompt_token_boundary_at_pipeline.md,archive_doc_or_report,docs,345
docs/pipelines/refactor_fact_check_decision_20260527.md,archive_doc_or_report,docs,819
docs/pipelines/refactor_phase12_handoff_20260528.md,archive_doc_or_report,docs,115
docs/pipelines/refactor_preflight_20260614.md,archive_doc_or_report,docs,279
docs/pipelines/refactor_source_of_truth_20260527.md,archive_doc_or_report,docs,564
docs/pipelines/run_record_management_20260529.md,archive_doc_or_report,docs,99
docs/pipelines/streamlit_tensorrt_demo_pipeline.md,archive_doc_or_report,docs,695
docs/pipelines/super5_label_mapping_pipeline.md,archive_doc_or_report,docs,451
docs/pipelines/v7_sjr_rgq_effnet_mainline_repro_20260528.md,archive_doc_or_report,docs,61
docs/reports/README.md,archive_doc_or_report,docs,18
docs/superpowers/plans/2026-06-05-mainline-refactor.md,archive_doc_or_report,docs,84
docs/superpowers/plans/2026-06-05-mainline-rerun-with-benchmark-vae.md,archive_doc_or_report,docs,257
docs/superpowers/plans/2026-06-05-paper-safety-typed-adapter-refactor.md,archive_doc_or_report,docs,1471
docs/superpowers/plans/2026-06-15-calibrated-latent-augmix.md,archive_doc_or_report,docs,151
docs/superpowers/plans/2026-06-15-ecgfounder-vae-augmix-pn2021c-eval.md,archive_doc_or_report,docs,235
docs/superpowers/plans/2026-06-16-ecgfounder-raw1000-parity.md,archive_doc_or_report,docs,838
docs/superpowers/plans/2026-06-30-official-s5-composite-mainline.md,archive_doc_or_report,docs,154
docs/superpowers/plans/2026-06-30-pn2021c-vae-lhat-agent-refactor.md,archive_doc_or_report,docs,554
docs/superpowers/plans/2026-07-01-breaking-refactor-archive-legacy.md,archive_doc_or_report,docs,543
docs/synth_anchored_super5_pilot_summary_final.md,archive_doc_or_report,docs,167
docs/training/efficientnet_training.md,archive_doc_or_report,docs,357
docs/triple_labels_metrics_for_advisor.md,archive_doc_or_report,docs,344
configs/experiments/benchmark_fcn_wang_vae_noaug_k500_v7_sjr_rgq.yaml,archive_historical_config,configs,20
configs/experiments/benchmark_inception1d_vae_noaug_k500_v7_sjr_rgq.yaml,archive_historical_config,configs,20
configs/experiments/benchmark_resnet1d_vae_noaug_k500_v7_sjr_rgq.yaml,archive_historical_config,configs,20
configs/experiments/ecgfounder_direct_corrupted_k500_supervised_officials5_depth23_ep10_chapman_shaoxing_20260701.yaml,archive_historical_config,configs,11
configs/experiments/ecgfounder_direct_corrupted_k500_supervised_officials5_depth23_ep10_cpsc_20260701.yaml,archive_historical_config,configs,65
configs/experiments/ecgfounder_direct_corrupted_k500_supervised_officials5_depth23_ep10_georgia_20260701.yaml,archive_historical_config,configs,11
configs/experiments/ecgfounder_direct_corrupted_k500_supervised_officials5_depth23_ep10_ningbo_20260701.yaml,archive_historical_config,configs,11
configs/experiments/ecgfounder_k500_fullft_locked_seed20260601.yaml,archive_historical_config,configs,25
configs/experiments/ecgfounder_k500_fullft_locked_seed20260601_chapman_shaoxing_20260622.yaml,archive_historical_config,configs,19
configs/experiments/ecgfounder_k500_fullft_locked_seed20260601_cpsc_20260622.yaml,archive_historical_config,configs,19
configs/experiments/ecgfounder_k500_fullft_locked_seed20260601_georgia_20260622.yaml,archive_historical_config,configs,19
configs/experiments/ecgfounder_k500_fullft_locked_seed20260601_ningbo_20260622.yaml,archive_historical_config,configs,19
configs/experiments/ecgfounder_raw_augmix_novae_officials5_depth23cycle_ep10_chapman_shaoxing_20260701.yaml,archive_historical_config,configs,19
configs/experiments/ecgfounder_raw_augmix_novae_officials5_depth23cycle_ep10_cpsc_20260701.yaml,archive_historical_config,configs,54
configs/experiments/ecgfounder_raw_augmix_novae_officials5_depth23cycle_ep10_georgia_20260701.yaml,archive_historical_config,configs,19
configs/experiments/ecgfounder_raw_augmix_novae_officials5_depth23cycle_ep10_ningbo_20260701.yaml,archive_historical_config,configs,19
