model,center,direct_auroc,direct_auprc,vae_auroc,vae_auprc,delta_auroc_pp,delta_auprc_pp
EfficientNet1DV2,ningbo,0.8814194609471713,0.4955396153654088,0.8866227790564117,0.5118574837185303,0.5203318109240462,1.6317868353121545
EfficientNet1DV2,chapman_shaoxing,0.8852745815916144,0.4455408148201032,0.897212283406477,0.4842726552903425,1.1937701814862534,3.8731840470239307
EfficientNet1DV2,cpsc_2018,0.8212155097878915,0.5593386021819902,0.8763256810899683,0.6213779216512064,5.511017130207685,6.203931946921626
EfficientNet1DV2,georgia,0.8206847026717844,0.5982129871553375,0.8246703678265314,0.601920013855081,0.39856651547469646,0.3707026699743432
ECGFounder,ningbo,0.9179380450024975,0.6007888441842815,0.9179380450024975,0.6007888441842815,0.0,0.0
ECGFounder,chapman_shaoxing,0.9260872513274849,0.5848525418152,0.9260872513274849,0.5848525418152,0.0,0.0
ECGFounder,cpsc_2018,0.8629724729405956,0.6219425502971091,0.8870055892737474,0.6814601755645691,2.403311633315175,5.951762526745997
ECGFounder,georgia,0.8820184204310484,0.7225738706019358,0.881437503099251,0.7207954607916698,-0.0580917331797437,-0.17784098102660018
ResNet1D-Wang,ningbo,0.8802004279822231,0.5052694846014094,0.8802004279822231,0.5052694846014094,0.0,0.0
ResNet1D-Wang,chapman_shaoxing,0.8779312863313266,0.45012105363543126,0.8825652839752172,0.46874275143302435,0.46339976438906083,1.8621697797593095
ResNet1D-Wang,cpsc_2018,0.8534699457815836,0.5894170491180504,0.8742560149599973,0.6237744472208353,2.0786069178413635,3.435739810278493
ResNet1D-Wang,georgia,0.8151502398639628,0.5896151741037488,0.8248937658229747,0.6151976738040075,0.9743525959011845,2.558249970025872
Inception1D,ningbo,0.885342477034226,0.5293078075791946,0.885342477034226,0.5293078075791946,0.0,0.0
Inception1D,chapman_shaoxing,0.8946749170486374,0.48971875097701834,0.8946749170486374,0.48971875097701834,0.0,0.0
Inception1D,cpsc_2018,0.8603836658831518,0.5987976942295244,0.8830145370471824,0.6370557881251725,2.263087116403051,3.825809389564805
Inception1D,georgia,0.8264118878642536,0.610233807262984,0.8283785412329563,0.6216301471770176,0.196665336870272,1.1396339914033549
FCN-Wang,ningbo,0.8735256958535192,0.4976728885019221,0.8735256958535192,0.4976728885019221,0.0,0.0
FCN-Wang,chapman_shaoxing,0.8741451766734892,0.42808996252327586,0.8741451766734892,0.42808996252327586,0.0,0.0
FCN-Wang,cpsc_2018,0.8321278207316403,0.5560885798474086,0.8541199266009781,0.5934911187020888,2.1992105869337863,3.7402538854680256
FCN-Wang,georgia,0.8122480057082463,0.5920470155143807,0.811832307731349,0.5993811225118754,-0.041569797689733345,0.7334106997494705
