dataset,model,variant,variant_label,center,drop_all_zero_macro_auroc,drop_all_zero_macro_auprc,source,note
PN2021 clean drop-all-zero,ECGFounder,source_ptbxl,仅PTBXL训练,ningbo,0.897410948142069,0.6628201888455786,/home/linbinhao/ECG/ecg_paper_migration_full_20260522_extract/root/autodl-tmp/runs/ecgfounder_direct_k500_v7_sjr_rgq/mainline_v7_k500_4gpu_20260605/ningbo/runs/ningbo_K500_fromK500_headft_ep50_seed20260531/drop_all_zero_reeval.json,ECGFounder direct-run reeval baseline/source head
PN2021 clean drop-all-zero,ECGFounder,source_ptbxl,仅PTBXL训练,chapman_shaoxing,0.902004729573737,0.618929066774672,/home/linbinhao/ECG/ecg_paper_migration_full_20260522_extract/root/autodl-tmp/runs/ecgfounder_direct_k500_v7_sjr_rgq/mainline_v7_k500_4gpu_20260605/chapman_shaoxing/runs/chapman_shaoxing_K500_fromK500_headft_ep50_seed20260531/drop_all_zero_reeval.json,ECGFounder direct-run reeval baseline/source head
PN2021 clean drop-all-zero,ECGFounder,source_ptbxl,仅PTBXL训练,cpsc_2018,0.8608540346226136,0.6798458920828626,/home/linbinhao/ECG/ecg_paper_migration_full_20260522_extract/root/autodl-tmp/runs/ecgfounder_direct_k500_v7_sjr_rgq/mainline_v7_k500_4gpu_20260605/cpsc_2018/runs/cpsc_2018_K500_fromK500_headft_ep50_seed20260531/drop_all_zero_reeval.json,ECGFounder direct-run reeval baseline/source head
PN2021 clean drop-all-zero,ECGFounder,source_ptbxl,仅PTBXL训练,georgia,0.8545536815800724,0.729611654603923,/home/linbinhao/ECG/ecg_paper_migration_full_20260522_extract/root/autodl-tmp/runs/ecgfounder_direct_k500_v7_sjr_rgq/mainline_v7_k500_4gpu_20260605/georgia/runs/georgia_K500_fromK500_headft_ep50_seed20260531/drop_all_zero_reeval.json,ECGFounder direct-run reeval baseline/source head
PN2021 clean drop-all-zero,ECGFounder,direct,直接微调,ningbo,0.930801321464022,0.7286491708414475,/home/linbinhao/ECG/ecg_paper_migration_full_20260522_extract/root/autodl-tmp/runs/ecgfounder_direct_k500_v7_sjr_rgq/mainline_v7_k500_4gpu_20260605/ningbo/runs/ningbo_K500_fromK500_headft_ep50_seed20260531/drop_all_zero_reeval.json,ECGFounder direct-run reeval final head
PN2021 clean drop-all-zero,ECGFounder,direct,直接微调,chapman_shaoxing,0.9335993104182526,0.68217645904956,/home/linbinhao/ECG/ecg_paper_migration_full_20260522_extract/root/autodl-tmp/runs/ecgfounder_direct_k500_v7_sjr_rgq/mainline_v7_k500_4gpu_20260605/chapman_shaoxing/runs/chapman_shaoxing_K500_fromK500_headft_ep50_seed20260531/drop_all_zero_reeval.json,ECGFounder direct-run reeval final head
PN2021 clean drop-all-zero,ECGFounder,direct,直接微调,cpsc_2018,0.9119492923696315,0.7771619825777046,/home/linbinhao/ECG/ecg_paper_migration_full_20260522_extract/root/autodl-tmp/runs/ecgfounder_direct_k500_v7_sjr_rgq/mainline_v7_k500_4gpu_20260605/cpsc_2018/runs/cpsc_2018_K500_fromK500_headft_ep50_seed20260531/drop_all_zero_reeval.json,ECGFounder direct-run reeval final head
PN2021 clean drop-all-zero,ECGFounder,direct,直接微调,georgia,0.8901298288873785,0.784893318710483,/home/linbinhao/ECG/ecg_paper_migration_full_20260522_extract/root/autodl-tmp/runs/ecgfounder_direct_k500_v7_sjr_rgq/mainline_v7_k500_4gpu_20260605/georgia/runs/georgia_K500_fromK500_headft_ep50_seed20260531/drop_all_zero_reeval.json,ECGFounder direct-run reeval final head
PN2021 clean drop-all-zero,ECGFounder,vae_noaug,VAE-only,ningbo,0.930801321464022,0.7286491708414475,/home/linbinhao/ECG/ecg_paper_migration_full_20260522_extract/root/autodl-tmp/runs/ecgfounder_vae_lhat_k500_v7_sjr_rgq/mainline_v7_k500_4gpu_20260605/ningbo/runs/ningbo_K500_M20_lam0p15_ep20_seed20260531/eval_result.json,mainline ECGFounder VAE-LHAT noAug
PN2021 clean drop-all-zero,ECGFounder,vae_noaug,VAE-only,chapman_shaoxing,0.9329332222935353,0.7023516402090102,/home/linbinhao/ECG/ecg_paper_migration_full_20260522_extract/root/autodl-tmp/runs/ecgfounder_vae_lhat_k500_v7_sjr_rgq/mainline_v7_k500_4gpu_20260605/chapman_shaoxing/runs/chapman_shaoxing_K500_M20_lam0p15_ep20_seed20260531/eval_result.json,mainline ECGFounder VAE-LHAT noAug
PN2021 clean drop-all-zero,ECGFounder,vae_noaug,VAE-only,cpsc_2018,0.9327449834223259,0.8386863736084303,/home/linbinhao/ECG/ecg_paper_migration_full_20260522_extract/root/autodl-tmp/runs/ecgfounder_vae_lhat_k500_v7_sjr_rgq/mainline_v7_k500_4gpu_20260605/cpsc_2018/runs/cpsc_2018_K500_M20_lam0p15_ep20_seed20260531/eval_result.json,mainline ECGFounder VAE-LHAT noAug
PN2021 clean drop-all-zero,ECGFounder,vae_noaug,VAE-only,georgia,0.891913711540202,0.7868796824763933,/home/linbinhao/ECG/ecg_paper_migration_full_20260522_extract/root/autodl-tmp/runs/ecgfounder_vae_lhat_k500_v7_sjr_rgq/mainline_v7_k500_4gpu_20260605/georgia/runs/georgia_K500_M20_lam0p15_ep20_seed20260531/eval_result.json,mainline ECGFounder VAE-LHAT noAug
PN2021 clean drop-all-zero,ECGFounder,vae_augmix,VAE+AugMix,ningbo,0.930801321464022,0.7286491708414475,/home/linbinhao/ECG/ecg_paper_migration_full_20260522_extract/root/autodl-tmp/runs/ecgfounder_vae_lhat_augmix_k500_v7_sjr_rgq/mainline_v7_k500_4gpu_20260605/ningbo/runs/ningbo_K500_M20_lam0p15_ep20_seed20260531/eval_result.json,dedicated ECGFounder AugMix run
PN2021 clean drop-all-zero,ECGFounder,vae_augmix,VAE+AugMix,chapman_shaoxing,0.9329332222935353,0.7023516402090102,/home/linbinhao/ECG/ecg_paper_migration_full_20260522_extract/root/autodl-tmp/runs/ecgfounder_vae_lhat_augmix_k500_v7_sjr_rgq/mainline_v7_k500_4gpu_20260605/chapman_shaoxing/runs/chapman_shaoxing_K500_M20_lam0p15_ep20_seed20260531/eval_result.json,dedicated ECGFounder AugMix run
PN2021 clean drop-all-zero,ECGFounder,vae_augmix,VAE+AugMix,cpsc_2018,0.9415965551860676,0.8542701835134858,/home/linbinhao/ECG/ecg_paper_migration_full_20260522_extract/root/autodl-tmp/runs/ecgfounder_vae_lhat_augmix_k500_v7_sjr_rgq/mainline_v7_k500_4gpu_20260605/cpsc_2018/runs/cpsc_2018_K500_M20_lam0p15_ep20_seed20260531/eval_result.json,dedicated ECGFounder AugMix run
PN2021 clean drop-all-zero,ECGFounder,vae_augmix,VAE+AugMix,georgia,0.8919661244059932,0.7869391783791984,/home/linbinhao/ECG/ecg_paper_migration_full_20260522_extract/root/autodl-tmp/runs/ecgfounder_vae_lhat_augmix_k500_v7_sjr_rgq/mainline_v7_k500_4gpu_20260605/georgia/runs/georgia_K500_M20_lam0p15_ep20_seed20260531/eval_result.json,dedicated ECGFounder AugMix run
