dataset,model,variant,variant_label,center,macro_auroc,macro_auprc,source,note
PN2021 clean,EfficientNet1DV2,direct,Direct fine-tune,ningbo,0.8814194609471713,0.4955396153654088,/home/linbinhao/ECG/ecg_paper_migration_full_20260522_extract/root/autodl-tmp/runs/effnet_direct_k500_v7_sjr_rgq_matrix/mainline_v7_k500_4gpu_20260605/ningbo/runs/ningbo_K500_direct_ft_ep30_seed20260531_val0.2/eval_result_v7_super5_sjr_rgq_review_exclrefs_crop1000.json,mainline direct
PN2021 clean,EfficientNet1DV2,direct,Direct fine-tune,chapman_shaoxing,0.8852745815916144,0.4455408148201032,/home/linbinhao/ECG/ecg_paper_migration_full_20260522_extract/root/autodl-tmp/runs/effnet_direct_k500_v7_sjr_rgq_matrix/mainline_v7_k500_4gpu_20260605/chapman_shaoxing/runs/chapman_shaoxing_K500_direct_ft_ep30_seed20260531_val0.2/eval_result_v7_super5_sjr_rgq_review_exclrefs_crop1000.json,mainline direct
PN2021 clean,EfficientNet1DV2,direct,Direct fine-tune,cpsc_2018,0.8212155097878915,0.5593386021819902,/home/linbinhao/ECG/ecg_paper_migration_full_20260522_extract/root/autodl-tmp/runs/effnet_direct_k500_v7_sjr_rgq_matrix/mainline_v7_k500_4gpu_20260605/cpsc_2018/runs/cpsc_2018_K500_direct_ft_ep30_seed20260531_val0.2/eval_result_v7_super5_sjr_rgq_review_exclrefs_crop1000.json,mainline direct
PN2021 clean,EfficientNet1DV2,direct,Direct fine-tune,georgia,0.8206847026717844,0.5982129871553375,/home/linbinhao/ECG/ecg_paper_migration_full_20260522_extract/root/autodl-tmp/runs/effnet_direct_k500_v7_sjr_rgq_matrix/mainline_v7_k500_4gpu_20260605/georgia/runs/georgia_K500_direct_ft_ep30_seed20260531_val0.2/eval_result_v7_super5_sjr_rgq_review_exclrefs_crop1000.json,mainline direct
PN2021 clean,EfficientNet1DV2,vae_noaug,VAE-only noAug,ningbo,0.8844296519386123,0.5189647257240738,/home/linbinhao/ECG/ecg_paper_migration_full_20260522_extract/root/autodl-tmp/runs/effnet_vae_noaug_k500_v7_sjr_rgq/seed20260601_k500_v7_sjr_rgq_20260530_rep1/ningbo_realall_targetheavy_M20_lam0p05_augmix_s2_wlat0p25_hs3_target_macro_auprc_cdhypminormsttc_hlabelcom_anchor_soft_sta_local_random_p120_fullft_k500_noaugmix_ep30_seed20260601/eval_result_v7_exclrefs_crop1000.json,prior noAug seed20260601 run
PN2021 clean,EfficientNet1DV2,vae_noaug,VAE-only noAug,chapman_shaoxing,0.891072670736385,0.4902868774608983,/home/linbinhao/ECG/ecg_paper_migration_full_20260522_extract/root/autodl-tmp/runs/effnet_vae_noaug_k500_v7_sjr_rgq/seed20260601_k500_v7_sjr_rgq_20260530_rep1/chapman_shaoxing_realall_targetheavy_M20_lam0p05_augmix_s2_wlat0p25_hs3_target_macro_auprc_cdhypminormsttc_hlabelcom_anchor_soft_sta_local_random_p120_fullft_k500_noaugmix_ep30_seed20260601/eval_result_v7_exclrefs_crop1000.json,prior noAug seed20260601 run
PN2021 clean,EfficientNet1DV2,vae_noaug,VAE-only noAug,cpsc_2018,0.876608192972279,0.6122642858378319,/home/linbinhao/ECG/ecg_paper_migration_full_20260522_extract/root/autodl-tmp/runs/effnet_vae_noaug_k500_v7_sjr_rgq/seed20260601_k500_v7_sjr_rgq_20260530_rep1/cpsc_2018_realall_targetheavy_M20_lam0p05_augmix_s2_wlat0p25_hs3_target_macro_auprc_cdhypminormsttc_hlabelcom_anchor_soft_sta_local_random_p120_fullft_k500_noaugmix_ep30_seed20260601/eval_result_v7_exclrefs_crop1000.json,prior noAug seed20260601 run
PN2021 clean,EfficientNet1DV2,vae_noaug,VAE-only noAug,georgia,0.8279592277082475,0.6079701079190702,/home/linbinhao/ECG/ecg_paper_migration_full_20260522_extract/root/autodl-tmp/runs/effnet_vae_noaug_k500_v7_sjr_rgq/seed20260601_k500_v7_sjr_rgq_20260530_rep1/georgia_realall_targetheavy_M20_lam0p05_augmix_s2_wlat0p25_hs3_target_macro_auprc_cdhypminormsttc_hlabelcom_anchor_soft_sta_local_random_p120_fullft_k500_noaugmix_ep30_seed20260601/eval_result_v7_exclrefs_crop1000.json,prior noAug seed20260601 run
PN2021 clean,EfficientNet1DV2,vae_augmix,VAE + AugMix,ningbo,0.8866227790564117,0.5118574837185303,/home/linbinhao/ECG/ecg_paper_migration_full_20260522_extract/root/autodl-tmp/runs/effnet_vae_lhat_k500_v7_sjr_rgq/mainline_v7_k500_4gpu_20260605/ningbo_realall_targetheavy_M20_lam0p05_augmix_s2_wlat0p25_hs3_target_macro_auprc_cdhypminormsttc_hlabelcom_anchor_soft_sta_local_random_p120_fullft_ep30_seed20260531/eval_result_v7_exclrefs_crop1000.json,mainline VAE-LHAT AugMix branch
PN2021 clean,EfficientNet1DV2,vae_augmix,VAE + AugMix,chapman_shaoxing,0.897212283406477,0.4842726552903425,/home/linbinhao/ECG/ecg_paper_migration_full_20260522_extract/root/autodl-tmp/runs/effnet_vae_lhat_k500_v7_sjr_rgq/mainline_v7_k500_4gpu_20260605/chapman_shaoxing_realall_targetheavy_M20_lam0p05_augmix_s2_wlat0p25_hs3_target_macro_auprc_cdhypminormsttc_hlabelcom_anchor_soft_sta_local_random_p120_fullft_ep30_seed20260531/eval_result_v7_exclrefs_crop1000.json,mainline VAE-LHAT AugMix branch
