dataset,model,variant,variant_label,mean_macro_auroc,mean_macro_auprc,n_centers,source_status
PN2021 clean,EfficientNet1DV2,source_ptbxl,PTB-XL-only source,0.8428572741770467,0.5140426843186647,4,new_effnet_source_eval_20260605
PN2021 clean,EfficientNet1DV2,direct,Direct fine-tune,0.8521485637496153,0.5246580048807099,4,main_table
PN2021 clean,EfficientNet1DV2,vae_noaug,VAE-only noAug,0.8700174358388809,0.5573714992354686,4,main_table
PN2021 clean,EfficientNet1DV2,vae_augmix,VAE + AugMix,0.871207777844847,0.5548570186287901,4,main_table
PN2021 clean,ECGFounder,source_ptbxl,PTB-XL-only source,0.8546176655799929,0.5407611095452125,4,existing_ecgfounder_source_eval
PN2021 clean,ECGFounder,direct,Direct fine-tune,0.8972540474254066,0.6325394517246316,4,main_table
PN2021 clean,ECGFounder,vae_noaug,VAE-only noAug,0.9031170971757452,0.6469742555889301,4,main_table
PN2021 clean,ECGFounder,vae_augmix,VAE + AugMix,0.9036716887003583,0.6455120705585219,4,main_table
PN2021 clean,ResNet1D-Wang,direct,Direct fine-tune,0.856687974989774,0.53360569036466,4,main_table
PN2021 clean,ResNet1D-Wang,vae_noaug,VAE-only noAug,0.8667108727007715,0.5532252078748457,4,main_table
PN2021 clean,ResNet1D-Wang,vae_augmix,VAE + AugMix,0.8654788731851031,0.5532460892648191,4,main_table
PN2021 clean,Inception1D,direct,Direct fine-tune,0.8667032369575672,0.5570145150121804,4,main_table
PN2021 clean,Inception1D,vae_noaug,VAE-only noAug,0.8728125037455365,0.5692047996537218,4,main_table
PN2021 clean,Inception1D,vae_augmix,VAE + AugMix,0.8728526180907505,0.5694281234646008,4,main_table
PN2021 clean,FCN-Wang,direct,Direct fine-tune,0.8480116747417238,0.5184746115967468,4,main_table
PN2021 clean,FCN-Wang,vae_noaug,VAE-only noAug,0.8529076124718603,0.5293863045731214,4,main_table
PN2021 clean,FCN-Wang,vae_augmix,VAE + AugMix,0.8534057767148339,0.5296587730597906,4,main_table
PN2021-C,EfficientNet1DV2,source_ptbxl,PTB-XL-only source,0.8332189317623755,0.4997593964777399,4,new_effnet_source_pn2021c_eval_20260605
PN2021-C,EfficientNet1DV2,direct,Direct fine-tune,0.8420166859892714,0.5099235280790408,4,main_table
PN2021-C,EfficientNet1DV2,vae_noaug,VAE-only noAug,0.8583274617489735,0.5394394115401118,4,main_table
PN2021-C,EfficientNet1DV2,vae_augmix,VAE + AugMix,0.8596892284953164,0.5369897333804503,4,main_table
PN2021-C,ECGFounder,source_ptbxl,PTB-XL-only source,0.8476327066206177,0.5244294015554362,4,existing_ecgfounder_source_pn2021c_eval
PN2021-C,ECGFounder,direct,Direct fine-tune,0.8900406033196432,0.6165346092795897,4,main_table
PN2021-C,ECGFounder,vae_noaug,VAE-only noAug,0.8969051638284005,0.6314390725389827,4,main_table
PN2021-C,ECGFounder,vae_augmix,VAE + AugMix,0.8995312831569495,0.637370708542374,4,main_table
PN2021-C,ResNet1D-Wang,direct,Direct fine-tune,0.8412363249071374,0.5098603981018961,4,main_table
PN2021-C,ResNet1D-Wang,vae_noaug,VAE-only noAug,0.8487543407979603,0.5256565063145685,4,main_table
PN2021-C,ResNet1D-Wang,vae_augmix,VAE + AugMix,0.8483489815235579,0.5267381130269272,4,main_table
PN2021-C,Inception1D,direct,Direct fine-tune,0.8513586801487871,0.5332860896710828,4,main_table
PN2021-C,Inception1D,vae_noaug,VAE-only noAug,0.8558485849384161,0.5425660820415057,4,main_table
PN2021-C,Inception1D,vae_augmix,VAE + AugMix,0.8561515262546844,0.5431057918253908,4,main_table
PN2021-C,FCN-Wang,direct,Direct fine-tune,0.8307422452117694,0.4938928218116716,4,main_table
PN2021-C,FCN-Wang,vae_noaug,VAE-only noAug,0.8339328542142587,0.5014875679075299,4,main_table
PN2021-C,FCN-Wang,vae_augmix,VAE + AugMix,0.8346369944236736,0.5020345836133262,4,main_table
