dataset,model,variant,variant_label,center,macro_auroc,macro_auprc,source_status
PN2021 clean,EfficientNet1DV2,direct,Direct fine-tune,ningbo,0.8814194609471713,0.4955396153654088,main_table
PN2021 clean,EfficientNet1DV2,direct,Direct fine-tune,chapman_shaoxing,0.8852745815916144,0.4455408148201032,main_table
PN2021 clean,EfficientNet1DV2,direct,Direct fine-tune,cpsc_2018,0.8212155097878915,0.5593386021819902,main_table
PN2021 clean,EfficientNet1DV2,direct,Direct fine-tune,georgia,0.8206847026717844,0.5982129871553375,main_table
PN2021 clean,EfficientNet1DV2,vae_noaug,VAE-only noAug,ningbo,0.8844296519386123,0.5189647257240738,main_table
PN2021 clean,EfficientNet1DV2,vae_noaug,VAE-only noAug,chapman_shaoxing,0.891072670736385,0.4902868774608983,main_table
PN2021 clean,EfficientNet1DV2,vae_noaug,VAE-only noAug,cpsc_2018,0.876608192972279,0.6122642858378319,main_table
PN2021 clean,EfficientNet1DV2,vae_noaug,VAE-only noAug,georgia,0.8279592277082475,0.6079701079190702,main_table
PN2021 clean,EfficientNet1DV2,vae_augmix,VAE + AugMix,ningbo,0.8866227790564117,0.5118574837185303,main_table
PN2021 clean,EfficientNet1DV2,vae_augmix,VAE + AugMix,chapman_shaoxing,0.897212283406477,0.4842726552903425,main_table
PN2021 clean,EfficientNet1DV2,vae_augmix,VAE + AugMix,cpsc_2018,0.8763256810899683,0.6213779216512064,main_table
PN2021 clean,EfficientNet1DV2,vae_augmix,VAE + AugMix,georgia,0.8246703678265314,0.601920013855081,main_table
PN2021 clean,ECGFounder,direct,Direct fine-tune,ningbo,0.9179380450024975,0.6007888441842815,main_table
PN2021 clean,ECGFounder,direct,Direct fine-tune,chapman_shaoxing,0.9260872513274849,0.5848525418152,main_table
PN2021 clean,ECGFounder,direct,Direct fine-tune,cpsc_2018,0.8629724729405956,0.6219425502971091,main_table
PN2021 clean,ECGFounder,direct,Direct fine-tune,georgia,0.8820184204310484,0.7225738706019358,main_table
PN2021 clean,ECGFounder,vae_noaug,VAE-only noAug,ningbo,0.9179380450024975,0.6007888441842815,main_table
PN2021 clean,ECGFounder,vae_noaug,VAE-only noAug,chapman_shaoxing,0.9260872513274849,0.5848525418152,main_table
