dataset,model,variant,variant_label,mean_drop_all_zero_macro_auroc,mean_drop_all_zero_macro_auprc,n_centers_with_drop
PN2021-C drop-all-zero,EfficientNet1DV2,source_ptbxl,仅PTBXL训练,0.8432080938806703,0.6210799170453242,4
PN2021-C drop-all-zero,EfficientNet1DV2,direct,直接微调,0.8502481052917974,0.6293627145788842,4
PN2021-C drop-all-zero,EfficientNet1DV2,vae_noaug,VAE-only,0.869313006313813,0.672165125751246,4
PN2021-C drop-all-zero,EfficientNet1DV2,vae_augmix,VAE+AugMix,0.8707980600120093,0.6667488412800946,4
PN2021-C drop-all-zero,ECGFounder,source_ptbxl,仅PTBXL训练,0.871352530990408,0.6581748911912378,4
PN2021-C drop-all-zero,ECGFounder,direct,直接微调,0.9095941481567829,0.7286808621683017,4
PN2021-C drop-all-zero,ECGFounder,vae_noaug,VAE-only,0.9148404594193831,0.743769925004374,4
PN2021-C drop-all-zero,ECGFounder,vae_augmix,VAE+AugMix,0.9176602884260179,0.7507774692988993,4
PN2021-C drop-all-zero,ResNet1D-Wang,source_ptbxl,仅PTBXL训练,,,0
PN2021-C drop-all-zero,ResNet1D-Wang,direct,直接微调,0.8544832919790968,0.6427180935532781,4
PN2021-C drop-all-zero,ResNet1D-Wang,vae_noaug,VAE-only,0.858860112451927,0.6577276259140344,4
PN2021-C drop-all-zero,ResNet1D-Wang,vae_augmix,VAE+AugMix,0.8602574821943108,0.6594535302682408,4
PN2021-C drop-all-zero,Inception1D,source_ptbxl,仅PTBXL训练,,,0
PN2021-C drop-all-zero,Inception1D,direct,直接微调,0.8686159792014161,0.6720872775221249,4
PN2021-C drop-all-zero,Inception1D,vae_noaug,VAE-only,0.8713354137526134,0.6831480276385319,4
PN2021-C drop-all-zero,Inception1D,vae_augmix,VAE+AugMix,0.8717888065214893,0.6837553300308357,4
PN2021-C drop-all-zero,FCN-Wang,source_ptbxl,仅PTBXL训练,,,0
PN2021-C drop-all-zero,FCN-Wang,direct,直接微调,0.8485431370981132,0.6320262791538517,4
PN2021-C drop-all-zero,FCN-Wang,vae_noaug,VAE-only,0.8513132652751031,0.6436313194914965,4
PN2021-C drop-all-zero,FCN-Wang,vae_augmix,VAE+AugMix,0.8520569719792306,0.6443935554364282,4
