dataset,model,variant,variant_label,center,drop_all_zero_macro_auroc,drop_all_zero_macro_auprc,n_units,drop_all_zero_n_records_min,drop_all_zero_n_records_max,n_all_zero_labels_min,n_all_zero_labels_max,source,note
PN2021-C drop-all-zero,EfficientNet1DV2,source_ptbxl,仅PTBXL训练,chapman_shaoxing,0.8659347261143102,0.5674109079325987,25,5322,5322,4425,4425,/home/linbinhao/ECG/ecg_paper_migration_full_20260522_extract/root/autodl-tmp/runs/source_ptbxl_v7_refexcluded_20260605/EfficientNet1DV2/chapman_shaoxing/eval_pn2021_c_v7_refexcluded_stream_standard_dropallzero.json,25 corruption-severity unit mean; all-zero labels dropped per unit
PN2021-C drop-all-zero,EfficientNet1DV2,source_ptbxl,仅PTBXL训练,cpsc_2018,0.846083684345178,0.667928957485471,25,4246,4246,2131,2131,/home/linbinhao/ECG/ecg_paper_migration_full_20260522_extract/root/autodl-tmp/runs/source_ptbxl_v7_refexcluded_20260605/EfficientNet1DV2/cpsc_2018/eval_pn2021_c_v7_refexcluded_stream_standard_dropallzero.json,25 corruption-severity unit mean; all-zero labels dropped per unit
PN2021-C drop-all-zero,EfficientNet1DV2,source_ptbxl,仅PTBXL训练,georgia,0.8002842125975618,0.6426957688619785,25,8213,8213,1631,1631,/home/linbinhao/ECG/ecg_paper_migration_full_20260522_extract/root/autodl-tmp/runs/source_ptbxl_v7_refexcluded_20260605/EfficientNet1DV2/georgia/eval_pn2021_c_v7_refexcluded_stream_standard_dropallzero.json,25 corruption-severity unit mean; all-zero labels dropped per unit
PN2021-C drop-all-zero,EfficientNet1DV2,source_ptbxl,仅PTBXL训练,ningbo,0.8605297524656311,0.6062840339012485,25,18743,18743,15662,15662,/home/linbinhao/ECG/ecg_paper_migration_full_20260522_extract/root/autodl-tmp/runs/source_ptbxl_v7_refexcluded_20260605/EfficientNet1DV2/ningbo/eval_pn2021_c_v7_refexcluded_stream_standard_dropallzero.json,25 corruption-severity unit mean; all-zero labels dropped per unit
PN2021-C drop-all-zero,EfficientNet1DV2,direct,直接微调,chapman_shaoxing,0.8730165646312961,0.5749942328542277,25,5322,5322,4425,4425,/home/linbinhao/ECG/ecg_paper_migration_full_20260522_extract/root/autodl-tmp/runs/pn2021c_direct_vs_vae_augmix_mainline_v7_k500_20260605/EfficientNet1DV2/direct/chapman_shaoxing/eval_pn2021_c_v7_refexcluded_stream_standard_dropallzero.json,25 corruption-severity unit mean; all-zero labels dropped per unit
PN2021-C drop-all-zero,EfficientNet1DV2,direct,直接微调,cpsc_2018,0.8532437965257216,0.6792938916435467,25,4246,4246,2131,2131,/home/linbinhao/ECG/ecg_paper_migration_full_20260522_extract/root/autodl-tmp/runs/pn2021c_direct_vs_vae_augmix_mainline_v7_k500_20260605/EfficientNet1DV2/direct/cpsc_2018/eval_pn2021_c_v7_refexcluded_stream_standard_dropallzero.json,25 corruption-severity unit mean; all-zero labels dropped per unit
PN2021-C drop-all-zero,EfficientNet1DV2,direct,直接微调,georgia,0.8058936559018555,0.6462274423231348,25,8213,8213,1631,1631,/home/linbinhao/ECG/ecg_paper_migration_full_20260522_extract/root/autodl-tmp/runs/pn2021c_direct_vs_vae_augmix_mainline_v7_k500_20260605/EfficientNet1DV2/direct/georgia/eval_pn2021_c_v7_refexcluded_stream_standard_dropallzero.json,25 corruption-severity unit mean; all-zero labels dropped per unit
PN2021-C drop-all-zero,EfficientNet1DV2,direct,直接微调,ningbo,0.8688384041083167,0.6169352914946276,25,18743,18743,15662,15662,/home/linbinhao/ECG/ecg_paper_migration_full_20260522_extract/root/autodl-tmp/runs/pn2021c_direct_vs_vae_augmix_mainline_v7_k500_20260605/EfficientNet1DV2/direct/ningbo/eval_pn2021_c_v7_refexcluded_stream_standard_dropallzero.json,25 corruption-severity unit mean; all-zero labels dropped per unit
PN2021-C drop-all-zero,EfficientNet1DV2,vae_noaug,VAE-only,chapman_shaoxing,0.8848452951303345,0.6214284477618797,25,5322,5322,4425,4425,/home/linbinhao/ECG/ecg_paper_migration_full_20260522_extract/root/autodl-tmp/runs/effnet_vae_noaug_k500_v7_sjr_rgq/seed20260601_k500_v7_sjr_rgq_20260530_rep1/chapman_shaoxing_realall_targetheavy_M20_lam0p05_augmix_s2_wlat0p25_hs3_target_macro_auprc_cdhypminormsttc_hlabelcom_anchor_soft_sta_local_random_p120_fullft_k500_noaugmix_ep30_seed20260601/eval_pn2021_c_v7_chapman_shaoxing_exclrefs_stream_standard_dropallzero.json,25 corruption-severity unit mean; all-zero labels dropped per unit
PN2021-C drop-all-zero,EfficientNet1DV2,vae_noaug,VAE-only,cpsc_2018,0.9032315972130367,0.765240958935146,25,4246,4246,2131,2131,/home/linbinhao/ECG/ecg_paper_migration_full_20260522_extract/root/autodl-tmp/runs/effnet_vae_noaug_k500_v7_sjr_rgq/seed20260601_k500_v7_sjr_rgq_20260530_rep1/cpsc_2018_realall_targetheavy_M20_lam0p05_augmix_s2_wlat0p25_hs3_target_macro_auprc_cdhypminormsttc_hlabelcom_anchor_soft_sta_local_random_p120_fullft_k500_noaugmix_ep30_seed20260601/eval_pn2021_c_v7_cpsc_2018_exclrefs_stream_standard_dropallzero.json,25 corruption-severity unit mean; all-zero labels dropped per unit
