operator,model,center,corruption_input,clean_auroc,corrupted_auroc,drop_auroc_pp,clean_auprc,corrupted_auprc,drop_auprc_pp,n_records,n_all_zero_labels,n_excluded_ref_ids_for_center,powerline_branch,status,output_json
baseline_shift,effnet,ningbo,raw_first,0.8814,0.7489,13.2475,0.4955,0.3292,16.6327,34405,15662,500,,ok,/home/linbinhao/ECG_adv_data/runs/pn2021c_dual_model_10to15pp_sweep_20260618/four_center_confirmation/effnet/ningbo/baseline_shift/dual_model_10to15pp_v1.json
baseline_shift,ecgfounder,ningbo,bottleneck5000,0.9054,0.8473,5.8113,0.5539,0.4644,8.9417,34405,15662,500,,ok,/home/linbinhao/ECG_adv_data/runs/pn2021c_dual_model_10to15pp_sweep_20260618/four_center_confirmation/ecgfounder/ningbo/baseline_shift/dual_model_10to15pp_v1.json
baseline_wander,effnet,ningbo,raw_first,0.8814,0.7471,13.4286,0.4955,0.3221,17.3402,34405,15662,500,,ok,/home/linbinhao/ECG_adv_data/runs/pn2021c_dual_model_10to15pp_sweep_20260618/four_center_confirmation/effnet/ningbo/baseline_wander/dual_model_10to15pp_v1.json
baseline_wander,ecgfounder,ningbo,bottleneck5000,0.9054,0.7902,11.5185,0.5539,0.3803,17.3575,34405,15662,500,,ok,/home/linbinhao/ECG_adv_data/runs/pn2021c_dual_model_10to15pp_sweep_20260618/four_center_confirmation/ecgfounder/ningbo/baseline_wander/dual_model_10to15pp_v1.json
emg_noise,effnet,ningbo,raw_first,0.8814,0.7215,15.9964,0.4955,0.3058,18.9774,34405,15662,500,,ok,/home/linbinhao/ECG_adv_data/runs/pn2021c_dual_model_10to15pp_sweep_20260618/four_center_confirmation/effnet/ningbo/emg_noise/dual_model_10to15pp_v1.json
emg_noise,ecgfounder,ningbo,bottleneck5000,0.9054,0.7536,15.1822,0.5539,0.3227,23.1171,34405,15662,500,,ok,/home/linbinhao/ECG_adv_data/runs/pn2021c_dual_model_10to15pp_sweep_20260618/four_center_confirmation/ecgfounder/ningbo/emg_noise/dual_model_10to15pp_v1.json
powerline_noise,effnet,ningbo,native_raw_first,0.8814,0.7507,13.0757,0.4955,0.3574,13.8116,34405,15662,500,native_raw_first,ok,/home/linbinhao/ECG_adv_data/runs/pn2021c_dual_model_10to15pp_sweep_20260618/four_center_confirmation/effnet/ningbo/powerline_noise/dual_model_10to15pp_v1.json
powerline_noise,ecgfounder,ningbo,native_raw_first,0.9050,0.7219,18.3175,0.5534,0.3408,21.2509,34405,15662,500,native_raw_first,ok,/home/linbinhao/ECG_adv_data/runs/pn2021c_dual_model_10to15pp_sweep_20260618/four_center_confirmation/ecgfounder/ningbo/powerline_noise/dual_model_10to15pp_v1.json
random_leads_masking,effnet,ningbo,raw_first,0.8814,0.7413,14.0148,0.4955,0.3060,18.9543,34405,15662,500,,ok,/home/linbinhao/ECG_adv_data/runs/pn2021c_dual_model_10to15pp_sweep_20260618/four_center_confirmation/effnet/ningbo/random_leads_masking/dual_model_10to15pp_v1.json
random_leads_masking,ecgfounder,ningbo,bottleneck5000,0.9054,0.7682,13.7216,0.5539,0.3456,20.8281,34405,15662,500,,ok,/home/linbinhao/ECG_adv_data/runs/pn2021c_dual_model_10to15pp_sweep_20260618/four_center_confirmation/ecgfounder/ningbo/random_leads_masking/dual_model_10to15pp_v1.json
baseline_shift,effnet,chapman_shaoxing,raw_first,0.8853,0.7514,13.3910,0.4458,0.3054,14.0488,9747,4425,500,,ok,/home/linbinhao/ECG_adv_data/runs/pn2021c_dual_model_10to15pp_sweep_20260618/four_center_confirmation/effnet/chapman_shaoxing/baseline_shift/dual_model_10to15pp_v1.json
